Type	RAM Speed↑	Supported Speed	Size	Module	Chip	SS/DS	DIMM Socket Support	OC
DDR4	Crucial	2133	2133	4GB	CT4G4DFS8213.8FA1		SS	2/4	
DDR4	G.Skill	2133	2133	4GB	F4-2133C15Q-16GFT		SS	2/4	
DDR4	G.Skill	2133	2133	4GB	F4-2133C15D-8GFXR		SS	2	
DDR4	G.Skill	2133	2133	4GB	F4-2133C15D-8GFX		SS	2	
DDR4	G.Skill	2133	2133	4GB	F4-2133C15D-8GFT		SS	2	
DDR4	G.Skill	2133	2133	4GB	F4-2133C15Q-16GFXR		SS	2/4	
DDR4	G.Skill	2133	2133	4GB	F4-2133C15Q-16GFX		SS	2/4	
DDR4	HyperX	2133	2133	4GB	HX421C14FBK2/8		SS	2	
DDR4	HyperX	2133	2133	4GB	HX421C14FBK4/16		SS	2/4	
DDR4	KLEVV	2133	2133	4GB	KM4B4GX2N-2133-15-15-15-35-0		SS	2/4	
DDR4	KLEVV	2133	2133	4GB	KM4B4GX1N-2133-15-15-15-35-0		SS	2/4	
DDR4	Patriot	2133	2133	4GB	PSD44G213381		SS	2/4	
DDR4	Samsung	2133	2133	4GB	M378A5143EB1-CPB		SS	2/4	
DDR4	UMAX	2133	2133	4GB	RMUM4GD42133512		SS	2/4	
DDR4	UMAX	2133	2133	4GB	RMUM4GD421333512		SS	2/4	
DDR4	Apacer	2133	2133	8GB	78.C1GM3.AF10B	Hynix	DS	2/4	
DDR4	Corsair	2133	2133	8GB	CMK16GX4M2A2666C16 ver:5.29	Hynix	SS	2	
DDR4	G.Skill	2133	2133	8GB	F4-2133C15D-16GFT		SS	2	
DDR4	G.Skill	2133	2133	8GB	F4-2133C15Q-32GFXR		SS	2/4	
DDR4	G.Skill	2133	2133	8GB	F4-2133C15Q-32GFX		SS	2/4	
DDR4	G.Skill	2133	2133	8GB	F4-2133C15Q-32GFT		SS	2/4	
DDR4	G.Skill	2133	2133	8GB	F4-2133C15D-16GFX		SS	2	
DDR4	G.Skill	2133	2133	8GB	F4-2133C15D-16GFX		SS	2	
DDR4	G.Skill	2133	2133	8GB	F4-2133C15D-16GFXR		SS	2	
DDR4	Geil	2133	2133	8GB	GP48GB2133C15SC		SS	2/4	
DDR4	HyperX	2133	2133	8GB	HX421C14FBK4/32		DS	2/4	
DDR4	Kingston	2133	2133	8GB	KVR21N15S8/8		SS	2/4	
DDR4	Kingston	2133	2133	8GB	KVR21N15D8/8		DS	2/4	
DDR4	KLEVV	2133	2133	8GB	KM4B8GX2N-2133-15-15-15-35-0		SS	2/4	
DDR4	KLEVV	2133	2133	8GB	KM4B8GX1N-2133-15-15-15-35-0		SS	2/4	
DDR4	Panram	2133	2133	8GB	W4U2133PS-8G		SS	2/4	
DDR4	Samsung	2133	2133	8GB	M391A1G43EB1-CPBQ (ECC)		SS	2/4	
DDR4	Samsung	2133	2133	8GB	M378A5143DB0-CPB		SS	2/4	
DDR4	V-Color	2133	2133	8GB	TC48G21S815-iMS		SS	2/4	
DDR4	G.Skill	2133	2133	16GB	F4-2133C15D-32GFXR		DS	2	
DDR4	G.Skill	2133	2133	16GB	F4-2133C15D-32GFT		DS	2	
DDR4	G.Skill	2133	2133	16GB	F4-2133C15D-32GFX		DS	2	
DDR4	HyperX	2133	2133	16GB	HX421C14FBK2/32	Kingston	DS	2	
DDR4	Kingston	2133	2133	16GB	KVR21N15D8/16		DS	2/4	
DDR4	KLEVV	2133	2133	16GB	KM4B16X2N-2133-15-15-15-35-0		DS	2/4	
DDR4	KLEVV	2133	2133	16GB	KM4B16X1N-2133-15-15-15-35-0		DS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-SRZ		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-QWZ		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-SBF		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-BBF		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-BWZ		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-BRZ		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-SWZ		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-DRZ		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-DRZ		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-DWZ		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-QRZ		SS	2/4	
DDR4	ADATA	2400	2400	4GB	AX4U2400W4G16-BBZ		SS	2/4	
DDR4	G.Skill	2400	2400	4GB	F4-2400C15Q-16GFX		SS	2/4	
DDR4	G.Skill	2400	2400	4GB	F4-2400C15Q-16GFXR		SS	2/4	
DDR4	G.Skill	2400	2400	4GB	F4-2400C16Q-16GFX		SS	2/4	
DDR4	G.Skill	2400	2400	4GB	F4-2400C15D-8GFXR		SS	2	
DDR4	G.Skill	2400	2400	4GB	F4-2400C16Q-16GFXR		SS	2/4	
DDR4	G.Skill	2400	2400	4GB	F4-2400C16Q-16GFT		SS	2/4	
DDR4	G.Skill	2400	2400	4GB	F4-2400C15Q-16GFT		SS	2/4	
DDR4	G.Skill	2400	2400	4GB	F4-2400C16D-8GFT		SS	2	
DDR4	G.Skill	2400	2400	4GB	F4-2400C16D-8GFXR		SS	2	
DDR4	G.Skill	2400	2400	4GB	F4-2400C15D-8GFT		SS	2	
DDR4	G.Skill	2400	2400	4GB	F4-2400C16D-8GFX		SS	2	
DDR4	G.Skill	2400	2400	4GB	F4-2400C15D-8GFX		SS	2	
DDR4	GALAX	2400	2400	4GB	GAL4AXR2BSR2400D17KE041C	Samsung E-die	DS	2/4	
DDR4	HyperX	2400	2400	4GB	HX424C15FBK2/8		SS	2	
DDR4	KLEVV	2400	2400	4GB	KM4Z4GX1N-2400-15-15-15-35-1		SS	2/4	
DDR4	KLEVV	2400	2400	4GB	KM4B4GX1N-2400-15-15-15-35-0		SS	2/4	
DDR4	KLEVV	2400	2400	4GB	KM4B4GX2N-2400-15-15-15-35-0		SS	2/4	
DDR4	KLEVV	2400	2400	4GB	KM4Z4GX2N-2400-15-15-15-35-1		SS	2/4	
DDR4	Patriot	2400	2400	4GB	PSD44G240081		SS	2/4	
DDR4	Patriot	2400	2400	4GB	PVE48G240C5KRD (11EC2)		SS	2/4	
DDR4	Team	2400	2400	4GB	TED44G2400C16BK		SS	2	
DDR4	Tigo	2400	2400	4GB	TMKU4G456-2400U		SS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400W8G16-BRD		DS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400316G16-BBF		DS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400W8G16-SRD		DS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400W8G16-QWZ		DS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400W8G16-QRZ		DS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400W8G16-DWZ		DS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400W8G16-DRZ		DS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400W8G16-BRZ		DS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400W8G16-BBZ		DS	2/4	
DDR4	ADATA	2400	2400	8GB	AX4U2400W8G16-BWZ		DS	2/4	
